Name,Team,Level,GP,G,A,P
IsabelKIvester,SantaClaraBlackhawks,12B,29,1,9,10
MonroeMIwanaga,SantaClaraBlackhawks,12B,27,19,10,29
ScottCSimmers,SantaClaraBlackhawks,12B,28,6,5,11
AndrewDLaine,SantaClaraBlackhawks,12B,30,0,0,0
DanielMWang,SantaClaraBlackhawks,12B,30,5,4,9
KensiJLevy,SantaClaraBlackhawks,12B,29,8,8,16
ReisHLevy,SantaClaraBlackhawks,12B,30,8,10,18
GageWAnderson,SanFranciscoSabercats,12B,27,13,8,21
EdgarLouis,SanFranciscoSabercats,12B,27,17,19,36
McCBachYRita,SanFranciscoSabercats,12B,28,4,9,13
KoaMcGoldrick,SanFranciscoSabercats,12B,25,6,12,18
TeoABettendorff,SanFranciscoSabercats,12B,24,2,1,3
RyanEChan,SanFranciscoSabercats,12B,28,12,17,29
WilliamJVandenTop,SanFranciscoSabercats,12B,24,9,8,17
BenjaminTHsia,SanFranciscoSabercats,12B,24,1,5,6
AlexanderKrepkiy,SanFranciscoSabercats,12B,28,29,19,48
OliverSWells,SanFranciscoSabercats,12B,24,8,14,22
AveryCLewis,SanFranciscoSabercats,12B,28,0,0,0
NicholasGApostolopoulos,OaklandBears,12B,27,7,14,21
NicoAMalley,OaklandBears,12B,26,2,5,7
NicolasJBurciaga,OaklandBears,12B,26,5,4,9
LiamMCallahan,OaklandBears,12B,27,0,0,0
ThurstonCDearbornKotomori,OaklandBears,12B,26,4,6,10
MasonAShelby,OaklandBears,12B,27,37,9,46
RiverCGeorgii,OaklandBears,12B,22,4,8,12
Jordan-DangerSSijher,OaklandBears,12B,8,4,3,7
Jordan-DangerSSijher,OaklandBears,12BB,1,1,0,1
ThanhGiao,OaklandBears,12B,27,7,9,16
MichaelDWhite,OaklandBears,12B,27,2,1,3
IzzyJacobson,OaklandBears,12B,27,2,4,6
JamesKYokomizo,OaklandBears,12B,27,3,13,16
HarrisonBlake,SanMateoBlackStars,12BB,25,7,8,15
JayLMendoza,SanMateoBlackStars,12BB,33,24,25,49
JordanJMorris,SanMateoBlackStars,12BB,33,15,15,30
AnthonyMBonomo,SanMateoBlackStars,12BB,25,9,4,13
AlexanderMorrisonWells,SanMateoBlackStars,12BB,33,1,3,4
ArtieGuerrieri,SanMateoBlackStars,12BB,31,1,13,14
RyanAToensing,SanMateoBlackStars,12BB,32,37,24,61
AlexanderYi,SanMateoBlackStars,12BB,33,0,0,0
NathanRYu,SanMateoBlackStars,12BB,27,11,4,15
EvelynRLang,SanMateoBlackStars,12BB,33,2,14,16
EmmettJLeung,SanMateoBlackStars,12BB,31,8,14,22
RyanRZhang,SanMateoBlackStars,12BB,33,14,5,19
CoraJMcGregor,SanMateoBlackStars,12BB,26,8,11,19
CoraJMcGregor,TriValleyLadyBlueDevils,12AAA,14,11,6,17
DustinJCaffey,TriValleyBlueDevils,12BB,23,18,8,26
RhysEChan,TriValleyBlueDevils,12BB,26,2,9,11
BryceEMatos,TriValleyBlueDevils,12BB,28,13,14,27
DexterLChen,TriValleyBlueDevils,12BB,26,3,9,12
IanJOkelley,TriValleyBlueDevils,12BB,26,4,4,8
AshtonJChoi,TriValleyBlueDevils,12BB,27,9,5,14
JazzPicone,TriValleyBlueDevils,12BB,29,11,12,23
MakaylaRCooney,TriValleyBlueDevils,12BB,1,0,0,0
MakaylaRCooney,SanJoseJrSharksGirls,12B,1,0,0,0
MarkReznikov,TriValleyBlueDevils,12BB,29,15,11,26
LucasRFukuda,TriValleyBlueDevils,12BB,28,2,7,9
DeclanCShannon,TriValleyBlueDevils,12BB,27,1,0,1
LukeTFukuda,TriValleyBlueDevils,12BB,28,2,4,6
NoahHSmith,TriValleyBlueDevils,12BB,29,4,3,7
TurnerDMandell,TriValleyBlueDevils,12BB,28,24,17,41
AlexTong,TriValleyBlueDevils,12BB,29,17,7,24
MatthewHMaskaly,TriValleyBlueDevils,12BB,27,0,0,0
AadhanKVelavan,TriValleyBlueDevils,12BB,28,11,22,33
DmitriiBlashkov,SanJoseJrSharks,12B,30,1,9,10
ZacharyHLiu,SanJoseJrSharks,12B,26,1,1,2
SiddharthGandhi,SanJoseJrSharks,12B,30,4,5,9
NashEOlson,SanJoseJrSharks,12B,30,0,1,1
JohnTGloverIV,SanJoseJrSharks,12B,30,10,4,14
DexterAPhillips,SanJoseJrSharks,12B,29,12,11,23
JaxanTHardy,SanJoseJrSharks,12B,26,8,4,12
DylanJain,SanJoseJrSharks,12B,24,2,3,5
LokhinTang,SanJoseJrSharks,12B,28,7,6,13
IsaacLane,SanJoseJrSharks,12B,31,0,0,0
IsaacLane,SanJoseJrSharks,12BB,1,0,0,0
BoyaoZhang,SanJoseJrSharks,12B,26,6,4,10
MatthewLiu,SanJoseJrSharks,12B,31,11,1,12
GraysonBeckett,SantaClaraBlackhawks,12BB,23,1,4,5
BrodenTBlackmon,SantaClaraBlackhawks,12BB,23,1,2,3
JamesHEplett,SantaClaraBlackhawks,12BB,23,1,1,2
EzekielSManlucu,SantaClaraBlackhawks,12BB,22,8,2,10
SofiaSGass,SantaClaraBlackhawks,12BB,23,0,1,1
LiamMMurphy,SantaClaraBlackhawks,12BB,20,6,5,11
FlynnRGrant,SantaClaraBlackhawks,12BB,23,6,7,13
DylanSRoberts,SantaClaraBlackhawks,12BB,23,2,6,8
BenjaminHoh,SantaClaraBlackhawks,12BB,23,1,3,4
ReesePWatson,SantaClaraBlackhawks,12BB,22,4,1,5
AnthonyJIvester,SantaClaraBlackhawks,12BB,21,1,0,1
HannahAYarbrough,TriValleyLadyBlueDevils,12AAA,22,0,1,1
HannahAYarbrough,SantaClaraBlackhawks,12BB,15,1,0,1
AryaRJanardhanan,SantaClaraBlackhawks,12BB,19,0,0,0
FranchescaAJimenez,SantaClaraBlackhawks,12BB,23,0,2,2
MichaelZhang,SantaClaraBlackhawks,12BB,22,4,2,6
BrysenIKhuong,SantaClaraBlackhawks,12BB,22,0,0,0
DaltonELenhardt,StocktonColts,12A,23,13,11,24
EthanBei,CupertinoCougars,12A,31,9,6,15
MaximMarkovich,CupertinoCougars,12A,31,1,8,9
JaydenBei,CupertinoCougars,12A,31,13,12,25
EliJMolyneaux,CupertinoCougars,12A,27,11,5,16
AydenChou,CupertinoCougars,12A,31,14,16,30
RonanGPiovesan,CupertinoCougars,12A,28,0,0,0
JosieDTanabe,CupertinoCougars,12A,30,6,10,16
NoeGToth,CupertinoCougars,12A,30,3,4,7
BryceLGelb,CupertinoCougars,12A,30,6,11,17
WilliamAWeafer,CupertinoCougars,12A,30,0,0,0
MatteoJHaro,CupertinoCougars,12A,31,12,14,26
WyattCWitkin,CupertinoCougars,12A,31,10,15,25
RoninWKolb,CupertinoCougars,12A,31,4,8,12
IvyFYu,CupertinoCougars,12A,31,1,2,3
IvyFYu,TriValleyLadyBlueDevils,12AAA,12,3,8,11
SeanKLepler,CupertinoCougars,12A,30,19,26,45
AaronMZetter,CupertinoCougars,12A,31,21,9,30
