Name,Team,Level,GP,G,A,P
JaeminPark,SanJoseJrSharks,10A-3,27,33,17,50,0
ConnorJHues,SanJoseJrSharks,10A-3,27,12,8,20,0
GrantLImelli,SanJoseJrSharks,10A-3,27,13,9,22,0
AldenSPowell,SanJoseJrSharks,10A-3,26,2,8,10,0
DevinSJimenez,SanJoseJrSharks,10A-3,27,3,3,6,0
DrewMLarioza,SanJoseJrSharks,10A-3,27,35,25,60,0
JunhoSeo,OaklandBears,10B,26,15,6,21,0
JunhoSeo,SanJoseJrSharks,10A-3,9,5,8,13,0
JaxsonDLewin,SanJoseJrSharks,10A-3,28,9,14,23,0
AedanTNelson,SanJoseJrSharks,10A-3,28,14,8,22,0
CooperDSmith,SanJoseJrSharks,10A-3,28,4,9,13,0
SpencerJWipf,SanJoseJrSharks,10A-3,28,1,4,5,0
LucaAdornato,TriValleyBlueDevils,10A-1,27,4,13,17,0
RussellLouie,TriValleyBlueDevils,10A-1,30,30,23,53,0
JamesTBellig,TriValleyBlueDevils,10A-1,29,31,14,45,0
CameronAMansell,TriValleyBlueDevils,10A-1,28,1,8,9,0
JustinMBuress,TriValleyBlueDevils,10A-1,30,7,8,15,0
DylanDDecorra,TriValleyBlueDevils,10A-1,28,18,12,30,0
PabloRMolina,TriValleyBlueDevils,10A-1,30,3,9,12,0
ThomasXGiroux,TriValleyBlueDevils,10A-1,25,24,11,35,0
EvangelineSMount,TriValleyBlueDevils,10A-1,29,2,6,8,0
JoshuaAKessel,TriValleyBlueDevils,10A-1,29,5,10,15,0
ZakiLRaza,TriValleyBlueDevils,10A-1,30,5,6,11,0
JalaluddinKhawaja,TriValleyBlueDevils,10A-1,26,2,4,6,0
JacobJVukman,TriValleyBlueDevils,10A-1,30,1,4,5,0
TristanKCaptain,SanFranciscoSabercats,10A,27,7,15,22,0
DonovanMufson,SanFranciscoSabercats,10A,26,3,8,11,0
OscarECraven-Green,SanFranciscoSabercats,10A,29,4,7,11,0
ElijahOzawa,SanFranciscoSabercats,10A,29,4,6,10,0
RoscoeWFortier,SanFranciscoSabercats,10A,29,8,10,18,0
OliverPietras,SanFranciscoSabercats,10A,28,33,5,38,0
BridgerQuarles,SanFranciscoSabercats,10A,28,7,10,17,0
KyleGiang,SanFranciscoSabercats,10A,28,7,10,17,0
AveryRStonge,SanFranciscoSabercats,10A,29,29,16,45,0
CodyMMoulton,SanFranciscoSabercats,10A,28,8,8,16,0
JulianHWalsh,SanFranciscoSabercats,10A,29,4,11,15,0
LandonWBergman,TriValleyBlueDevils,10A-2,19,1,5,6,0
IsaiahAMaier,TriValleyBlueDevils,10A-2,24,15,6,21,0
SamuelBoutet,TriValleyBlueDevils,10A-2,25,11,4,15,0
CarterSMckone,TriValleyBlueDevils,10A-2,23,5,2,7,0
MadisonGMurphy,TriValleyBlueDevils,10A-2,22,0,0,0,0
AlexanderTOmans,TriValleyBlueDevils,10A-2,26,6,3,9,0
TyByrd,TriValleyBlueDevils,10A-2,24,3,5,8,0
EvanSPritchett,TriValleyBlueDevils,10A-2,23,9,9,18,0
KylePCurrier,TriValleyBlueDevils,10A-2,22,3,8,11,0
HunterSchwarz,TriValleyBlueDevils,10A-2,24,0,1,1,0
DevinShape,TriValleyBlueDevils,10A-2,25,3,1,4,0
MaximVasilyev,TriValleyBlueDevils,10A-2,26,20,7,27,0
LoganJGreen,TriValleyBlueDevils,10A-2,22,10,7,17,0
AidanLXie,CupertinoCougars,10A,20,3,3,6,0
JoshuaSBrown,VacavilleJets,10B,27,0,7,7,0
SilasASigmon,VacavilleJets,10B,26,3,4,7,0
SpencerGSipes,VacavilleJets,10B,26,2,3,5,0
LeonardoJSpacco,VacavilleJets,10B,20,0,7,7,0
TroyWHarrold,VacavilleJets,10B,27,6,6,12,0
MaximilianGTarasoff,VacavilleJets,10B,27,47,4,51,0
StevenDWehling,VacavilleJets,10B,25,14,2,16,0
JackEMeador,VacavilleJets,10B,23,8,10,18,0
ZoeyJWood,VacavilleJets,10B,27,5,5,10,0
AlbertDReyes,VacavilleJets,10B,25,7,6,13,0
KaylaMoanaBaumann-Norris,TriValleyLadyBlueDevils,10B,22,11,10,21,0
CamillaMangadu,TriValleyLadyBlueDevils,10B,17,1,3,4,0
CaliByrd,TriValleyLadyBlueDevils,10B,22,14,8,22,0
AlyssaMPoland,TriValleyLadyBlueDevils,10B,13,0,2,2,0
TahliaRCathers,TriValleyLadyBlueDevils,10B,6,0,1,1,0
WednesdayCutting,TriValleyLadyBlueDevils,10B,21,1,5,6,0
MadalinePStevens,TriValleyLadyBlueDevils,10B,17,1,3,4,5
OliviaMHigley,TriValleyLadyBlueDevils,10B,22,2,4,6,0
MadisonLWingerd,TriValleyLadyBlueDevils,10B,4,3,1,4,17
ElizabethJHuh,TriValleyLadyBlueDevils,10B,22,33,10,43,0
HaleyLWoelkers,TriValleyLadyBlueDevils,10B,20,9,5,14,0
AmeliaRWoodstock,TriValleyLadyBlueDevils,10B,16,0,0,0,0
EdenYuen,TriValleyLadyBlueDevils,10B,19,4,3,7,0
AmberMKaplenko,TriValleyLadyBlueDevils,10B,14,14,3,17,4
DylanYBanera,SanJoseJrSharks,10A-2,26,9,6,15,0
AdityaMMathur,SanJoseJrSharks,10A-2,25,4,5,9,0
DanicaNBeck,SanJoseJrSharks,10A-2,22,1,4,5,0
DmitryOvesnov,SanJoseJrSharks,10A-2,26,4,2,6,0
CadenRRuan,SanJoseJrSharks,10A-2,24,2,6,8,0
EliMCarlos,SanJoseJrSharks,10A-2,25,2,3,5,0
JustinRSaban,SanJoseJrSharks,10A-2,24,0,0,0,0
CooperRDekeyrel,SanJoseJrSharks,10A-2,25,5,6,11,0
ShaneGhiossi,SanJoseJrSharks,10A-2,26,4,4,8,0
TimothySetrakyan,SanJoseJrSharks,10A-2,24,0,4,4,0
DillonJHall,SanJoseJrSharks,10A-2,25,3,5,8,1
AlexanderVLebedev,SanJoseJrSharks,10A-2,1,0,0,0,24
JacksonMWolfe,SanJoseJrSharks,10A-2,26,11,3,14,0
AustinELord,SanJoseJrSharks,10A-2,7,12,5,17,15
TiantongYang,SanJoseJrSharks,10A-2,25,2,3,5,0
AdelineCBallester,SantaClaraBlackhawks,10B,26,4,5,9,0
AidanTLaroche,SantaClaraBlackhawks,10B,26,2,3,5,0
MichelleLi,SantaClaraBlackhawks,10B,24,2,8,10,0
KellanJMcnulty,SantaClaraBlackhawks,10B,26,29,18,47,0
AdenSRoberts,SantaClaraBlackhawks,10B,26,1,4,5,0
AidanSFernandes,SantaClaraBlackhawks,10B,22,18,13,31,0
JacobCFoisy,SantaClaraBlackhawks,10B,26,13,10,23,0
JamesRStanley,SantaClaraBlackhawks,10B,25,40,12,52,0
SaraGynther,SantaClaraBlackhawks,10B,25,10,4,14,0
EthanWu,SantaClaraBlackhawks,10B,20,7,3,10,0
JessupHutcheson,SantaClaraBlackhawks,10B,26,13,22,35,0
EthanGYam,SantaClaraBlackhawks,10A,11,5,4,9,0
EthanGYam,SantaClaraBlackhawks,10B,10,3,5,8,0
AdishJoshi,SantaClaraBlackhawks,10B,26,6,10,16,0
EthanZZhu,SantaClaraBlackhawks,10B,25,1,8,9,0
CarlosAAyonIi,SanFranciscoSabercats,10B,20,13,11,24,4
DevinTKapke,SanFranciscoSabercats,10B,26,0,0,0,0
HewenChen,SanFranciscoSabercats,10B,24,0,3,3,0
GillianCLee,SanFranciscoSabercats,10B,22,2,2,4,3
HarryJNysather,SanFranciscoSabercats,10B,26,5,8,13,0
LeilaCColeman,SanFranciscoSabercats,10B,26,1,4,5,0
KirPatrasco,SanFranciscoSabercats,10B,17,1,0,1,0
DavidCuperstein,SanFranciscoSabercats,10B,23,14,6,20,0
BennettCPirie,SanFranciscoSabercats,10B,26,3,3,6,0
RayLGrant,SanFranciscoSabercats,10B,22,4,2,6,2
MateoPrenton,SanFranciscoSabercats,10B,24,0,0,0,1
JaedenHuot,SanFranciscoSabercats,10B,24,0,1,1,0
CamilaSmithAlvarado,SanFranciscoSabercats,10B,21,2,0,2,3
AidanJLove,SanJoseJrSharks,10B-1,29,20,10,30,0
ColinRMatasek,SanJoseJrSharks,10B-1,27,15,13,28,0
EvanABeech,SanJoseJrSharks,10B-1,28,29,19,48,0
NaylenWSaito,SanJoseJrSharks,10B-1,28,4,7,11,0
BorisDBektchiev,SanJoseJrSharks,10B-1,29,4,6,10,0
KazimierzSSoszynski,SanJoseJrSharks,10B-1,29,15,12,27,0
NiklasOTossavainen,SanJoseJrSharks,10B-1,29,0,3,3,0
TrevorLChin,SanJoseJrSharks,10B-1,29,43,12,55,0
GabrielJCombellas,SanJoseJrSharks,10B-1,28,12,12,24,0
MarcusVVonklemperer,SanJoseJrSharks,10B-1,29,12,16,28,0
ThomasYHoh,SanJoseJrSharks,10B-1,29,5,9,14,0
GabrielBAmit-Guite,OaklandBears,10B,32,15,22,37,0
BaerALaczkowski,OaklandBears,10B,31,13,14,27,0
VictorJAntink,OaklandBears,10B,32,3,16,19,0
NathanABrown,OaklandBears,10B,32,13,10,23,0
ColtenAMurphy,OaklandBears,10B,30,12,14,26,0
LukasADuncanReed,OaklandBears,10B,32,84,27,111,0
