Name,Team,Level,GP,G,A,P
LiamPCorkery,StocktonColts,12A,19,0,0,0
MathiasVMartinez,StocktonColts,12A,23,1,8,9
JackHCrivelli,StocktonColts,12A,22,0,0,0
BryceEMatos,StocktonColts,12A,22,2,0,2
AidennGDavis,StocktonColts,12A,21,0,1,1
SebastianRPerez,StocktonColts,12A,23,17,11,28
HeathPDevelbiss,StocktonColts,12A,23,2,3,5
AndrewJRauscher,StocktonColts,12A,20,4,2,6
ParkerDrebert,StocktonColts,12A,22,6,0,6
BraydenTSchneider,StocktonColts,12A,22,13,5,18
RyderCFord,StocktonColts,12A,22,0,0,0
ReidBellingrath,CapitalThunder,12B,19,0,3,3
GavinDMacKinnon,CapitalThunder,12B,20,2,2,4
TateMBowman,CapitalThunder,12B,19,0,0,0
AaronMaxwell,CapitalThunder,12B,15,1,3,4
JacobPMilton,CapitalThunder,12B,18,20,2,22
LiamPCaliva-Gonzalez,CapitalThunder,12B,13,0,0,0
CymryLNowack,CapitalThunder,12B,20,0,5,5
LeviJCaples,CapitalThunder,12B,19,3,3,6
AndersonPChapman,CapitalThunder,12B,20,0,1,1
DominicJPrior,CapitalThunder,12B,19,3,3,6
CarsonMEven,CapitalThunder,12B,20,11,3,14
NathanRFranklin,CapitalThunder,12B,20,1,0,1
ParkerSandoval,CapitalThunder,12B,20,0,0,0
NolanMMcCaulley,RenoIce,12B,19,10,2,12
GAGEBROWN,RenoIce,12B,21,7,8,15
BrendanRChambers,RenoIce,12B,19,5,2,7
DylanDOlenic,RenoIce,12B,21,1,3,4
LiamMColonna,RenoIce,12B,21,3,6,9
SofiOOwens,RenoIce,12B,20,0,4,4
TaggartRiedlinger,RenoIce,12B,21,27,4,31
KnoxJohnson,RenoIce,12B,19,5,3,8
KodyThompson,RenoIce,12B,21,0,0,0
MasonLKantrud,RenoIce,12B,21,2,2,4
CalebSVanderWall,RenoIce,12B,21,3,9,12
SantoDLauer,RenoIce,12B,19,4,0,4
EllianaYeung,RenoIce,12B,21,1,1,2
KellenWLimbert,RenoIce,12B,21,4,6,10
HunterMBolan,CapitalThunder,12A,22,0,0,0
BradyKMoran,CapitalThunder,12A,22,0,0,0
ColeMChamberlain,CapitalThunder,12A,22,3,7,10
ClintROates,CapitalThunder,12A,22,12,11,23
HannahCClausen,CapitalThunder,12A,21,3,6,9
TorinWOdestig,CapitalThunder,12A,21,0,1,1
LucasRDelgado,CapitalThunder,12A,22,13,2,15
ThomasEDuerr,CapitalThunder,12A,22,2,8,10
RyanPRuffell,CapitalThunder,12A,22,18,17,35
LukasJHamilton,CapitalThunder,12A,21,1,1,2
NoahJWard,CapitalThunder,12A,22,0,2,2
JamesMHoobler,CapitalThunder,12A,21,10,9,19
JohnHWillms,CapitalThunder,12A,22,3,0,3
LoganLapsley,CapitalThunder,12A,21,0,0,0
ZacharyCYamamoto,CapitalThunder,12A,22,8,5,13
WyattMBest,SanMateoBlackStars,12BB,28,8,10,18
MaxwellDPfenninger,SanMateoBlackStars,12BB,28,7,11,18
AlexDecourcey,SanMateoBlackStars,12BB,27,0,2,2
QuincyKQuattlebaum,SanMateoBlackStars,12BB,28,18,8,26
ElliotLam,SanMateoBlackStars,12BB,28,5,5,10
EleanorTalmadge,SanMateoBlackStars,12BB,27,29,15,44
EmmettJLeung,SanMateoBlackStars,12BB,27,2,2,4
IvyFYu,SanMateoBlackStars,12BB,28,2,3,5
CaidenMatthews,SanMateoBlackStars,12B,1,0,0,0
CaidenMatthews,SanMateoBlackStars,12BB,24,0,2,2
NathanRYu,SanMateoBlackStars,12BB,27,1,3,4
VioletEAdams,OaklandBears,12BB,15,1,2,3
AryaMahmoudi,OaklandBears,12BB,18,3,0,3
KieranHBaird,OaklandBears,12BB,19,1,2,3
KyleGCronin,OaklandBears,12B,23,6,7,13
KyleGCronin,OaklandBears,12BB,3,0,0,0
TylerNeugebauer,OaklandBears,12BB,20,4,1,5
LukeWDugdale,OaklandBears,12BB,15,0,0,0
AudreyLRoethlisberger,OaklandBears,12BB,15,0,0,0
HunterLScott,OaklandBears,12BB,21,15,3,18
MilesJaffe,OaklandBears,12BB,20,5,6,11
DohyunWKim,OaklandBears,12BB,17,6,4,10
HenryQWelsh,OaklandBears,12BB,13,0,0,0
DoyulEKim,OaklandBears,12BB,17,2,3,5
SadieWielandt,OaklandBears,12BB,21,2,4,6
LeonardoDBowman,OaklandBears,12B,26,25,18,43
JacksonRHite,OaklandBears,12B,26,50,9,59
ThurstonCDearbornKotomori,OaklandBears,12B,21,5,13,18
LilyAKantrovitz,OaklandBears,12B,24,8,15,23
MargaretDEidt,OaklandBears,12B,19,4,5,9
RexAOmana,OaklandBears,12B,24,1,7,8
JacksonGFong,OaklandBears,12B,25,8,13,21
JasonGFong,OaklandBears,12B,25,10,12,22
OliverPWelborn,OaklandBears,12B,24,0,1,1
DanielEZermeno,OaklandBears,12B,25,3,6,9
BryceAKaplenko,TriValleyBlueDevils,12A-1,25,5,11,16
CremerELewis,TriValleyBlueDevils,12A-1,31,0,9,9
HollisDMonberg,SanFranciscoSabercats,12A,6,1,3,4
SaimiPesola,SanJoseJrSharks,12A-1,14,0,0,0
AriDBovermanFitzpatrick,SanJoseJrSharks,12A-1,24,1,0,1
MioSPham,SanJoseJrSharks,12A-1,22,3,3,6
MorganBCurlee,SanJoseJrSharks,12A-1,22,3,4,7
OwenAGarcia,SanJoseJrSharks,12A-1,24,6,2,8
ChristosRapinan,SanJoseJrSharks,12A-1,21,3,3,6
MasonCGartin,SanJoseJrSharks,12A-1,23,0,3,3
JackBSerpa,SanJoseJrSharks,12A-1,24,2,3,5
MatthewMGrigorovitch,SanJoseJrSharks,12A-1,24,0,0,0
AnthonyJTaormino,SanJoseJrSharks,12A-1,24,4,3,7
NolanJJohnstonLee,SanJoseJrSharks,12A-1,19,4,2,6
AndrewYVanTassell,SanJoseJrSharks,12A-1,24,0,2,2
RoninWKolb,SanJoseJrSharks,12A-1,24,2,3,5
YuejiaWang,SanJoseJrSharks,12A-1,14,3,2,5
EliJMolyneaux,SanJoseJrSharks,12A-1,24,1,5,6
MichaelSBrozovich,SanMateoBlackStars,12B,25,17,5,22
KurtWKohn,SanMateoBlackStars,12B,27,12,10,22
CallieLacasse,SanMateoBlackStars,12B,23,1,2,3
KendylleRCoit,SanMateoBlackStars,12B,27,0,0,0
EverettMok,SanMateoBlackStars,12B,28,3,8,11
TylerJDecourcey,SanMateoBlackStars,12B,28,0,6,6
RonanGPiovesan,SanMateoBlackStars,12B,19,0,0,0
ArthurGuerrieri,SanMateoBlackStars,12B,27,6,9,15
RyanAToensing,SanMateoBlackStars,12B,26,29,7,36
SarahHung,SanMateoBlackStars,12B,26,1,3,4
KlimZubkov,SanMateoBlackStars,12B,24,7,7,14
GageWAnderson,SanFranciscoSabercats,12B,27,3,4,7
ChristopherAdams,OaklandBears,12BB,8,0,0,0
NoaBernstein,OaklandBears,12B,2,0,0,0
NoaBernstein,OaklandBears,12BB,20,3,0,3
IndianaRLaskowski,SanJoseJrSharks,12A-2,24,0,3,3
MitchellRWhite,FresnoJrMonsters,12BB,16,3,0,3
AbigailESombs,SantaRosaFlyers,12BB,19,0,2,2
NicoAMalley,OaklandBears,12B,24,4,16,20
DylanKLundqvistPoppers,CapitalThunder,12A,20,2,5,7
HarrisonBlake,SanMateoBlackStars,12BB,22,4,6,10
VivianMPorter,SanMateoBlackStars,12BB,25,4,4,8
GavinNThompson,SanMateoBlackStars,12BB,22,51,12,63
BrysonChard,SanMateoBlackStars,12B,23,0,5,5
MitchellMRowe,SanMateoBlackStars,12B,19,11,4,15
StellanHjelm,TriValleyBlueDevils,12A-1,27,4,0,4
DanielFries,FresnoJrMonsters,12BB,12,0,1,1
JohnLongo,StocktonColts,12A,4,0,0,0
GebreCDadresOman,SanFranciscoSabercats,12B,27,0,6,6
